season,round,circuit_id,driver_id,avg_lap_time_norm,lap_time_std,best_lap_time_norm,avg_sector1_norm,avg_sector2_norm,avg_sector3_norm,tyre_degradation_slope,avg_stint_length,number_of_pit_stops,team,teammate_pace_delta,position_gain,grid_position,finish_position,driver_cluster,driver_cluster_name,circuit_cluster,circuit_cluster_name,split
2019,1,Melbourne,ALB,1.0114583132201933,0.0124870118475358,0.988715671930444,1.0132034084198094,1.0068353184337877,1.0129136854140015,-0.0004039669409877,27.0,1,Toro Rosso,0.0044748233313673,-1.0,13.0,14.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,BOT,0.9865018102493508,0.0123349514895673,0.959476200886826,0.9837367376024752,0.9854253152541558,0.9867025923092214,-0.0006504363527856,28.0,1,Mercedes,-0.0019039450702837,1.0,2.0,1.0,1,Frontrunner,0.0,High-Degradation,train
2019,1,Melbourne,GAS,1.0026280477765714,0.0137648876162399,0.9779638879078868,1.004256802695768,1.0026984594249828,1.0010449027022217,-0.0001293246051166,27.0,1,Red Bull Racing,0.0065900830011844,6.0,17.0,11.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,GIO,1.013724687807731,0.0163983295063758,0.9919782049341608,1.0138163086039274,1.013402737865499,1.0136920259918891,-0.0001684286821262,27.0,1,Alfa Romeo Racing,0.0056797431663593,-1.0,14.0,15.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,HAM,0.9903097003899184,0.0134173300541383,0.964824064264052,0.987889345011146,0.9895353342985708,0.989815210864846,-0.0015114377171292,28.0,1,Mercedes,0.0019039450702836,-1.0,1.0,2.0,1,Frontrunner,0.0,High-Degradation,train
2019,1,Melbourne,HUL,1.0029583704193683,0.0096939213054519,0.991585804057425,1.0052729266852276,1.0000443902416232,1.0027947372723092,-0.0002521334357547,27.0,1,Renault,0.0,4.0,11.0,7.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,KUB,1.0297020653691116,0.0181148844122561,1.0010034250990811,1.025770613286416,1.031799157824679,1.031425922428656,-6.646140161619336e-05,15.333333333333334,2,Williams,0.0030219049103668,3.0,20.0,17.0,0,Aggressive,0.0,High-Degradation,train
2019,1,Melbourne,KVY,1.0025086665574587,0.0165691882136403,0.9804191962508898,1.007866586270043,0.998234514425271,1.0007002462055243,-0.0006093660311666,27.0,1,Toro Rosso,-0.0044748233313671,5.0,15.0,10.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,LEC,0.9962660763326724,0.0128219967447901,0.9745668174607178,0.9966569644815658,0.9989876476187928,0.9937344175104054,3.2974801115178006e-05,27.5,1,Ferrari,-0.000788159729434,0.0,5.0,5.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,MAG,1.0013929721512589,0.0097801916397809,0.988648403208718,1.0012918275614242,1.0027533843842351,1.0003994740131037,-0.0001767080253252,27.5,1,Haas F1 Team,0.0,1.0,7.0,6.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,NOR,1.0111680611431155,0.0113777086766552,0.9928302754093582,1.0131910015334913,1.009724578020133,1.010264724303437,-0.0001805889174053,27.0,1,McLaren,0.0,-4.0,8.0,12.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,PER,1.0107937231638804,0.0116395514527068,0.9920454736558868,1.011117190485407,1.0099278386001964,1.0109306089851218,-0.0004374264943569,27.0,1,Racing Point,0.0039753945964529,-3.0,10.0,13.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,RAI,1.0023652014750122,0.0095750058717705,0.9896350111273676,0.999343055369452,1.001016302900318,1.0056342486514402,-0.000248530826506,27.0,1,Alfa Romeo Racing,-0.0056797431663595,1.0,9.0,8.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,RUS,1.023658255548378,0.0154170753724868,0.9946016850814792,1.0235146986571662,1.02164951938974,1.024948946952514,0.0008473271500407,17.0,2,Williams,-0.0030219049103668,3.0,19.0,16.0,0,Aggressive,0.0,High-Degradation,train
2019,1,Melbourne,STR,1.0028429339709743,0.0126298540861548,0.981764570685412,1.0033548220604365,1.0002788018684396,1.0039583434205228,-0.0005892083012483,27.0,1,Racing Point,-0.0039753945964531,7.0,16.0,9.0,2,Tyre Manager,0.0,High-Degradation,train
2019,1,Melbourne,VER,0.9894478817742024,0.0106851511842489,0.967055143534635,0.991691739856017,0.9862200795965882,0.9895556586401272,-0.0004166159565672,27.5,1,Red Bull Racing,-0.0065900830011845,1.0,4.0,3.0,1,Frontrunner,0.0,High-Degradation,train
2019,1,Melbourne,VET,0.9978423957915404,0.0119527561626563,0.9860921917831256,0.996048384149684,0.9988908280415492,0.9953873001146648,-0.0013356719545715,28.0,1,Ferrari,0.0007881597294341,-1.0,3.0,4.0,2,Tyre Manager,0.0,High-Degradation,train
2019,2,Sakhir,ALB,1.0011614075270796,0.0089954678296502,0.9893044847542892,1.000139748533653,1.0035239061795218,1.0013427141051812,0.0005796278746645,16.0,2,Toro Rosso,0.0005607860078937,3.0,12.0,9.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,BOT,0.9902750567496268,0.0112424575163762,0.9633019080144788,0.9935063432028892,0.9918874527553544,0.984501104028663,-0.0004319582025368,16.666666666666668,2,Mercedes,0.0014807051268941,2.0,4.0,2.0,1,Frontrunner,1.0,High-Speed,train
2019,2,Sakhir,GAS,0.9981409384649992,0.0135007950447788,0.9743655289474222,0.9962990267561056,1.0016593952685362,0.9973032884778292,0.0007240893322232,16.0,2,Red Bull Racing,0.0033341556064541,5.0,13.0,8.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,GIO,1.0024538248907613,0.0152354568415296,0.9738133704165728,1.0037921135919288,1.002903698691926,1.0030204557763611,0.0006180479631079,16.0,2,Alfa Romeo Racing,0.0021473896875874,5.0,16.0,11.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,HAM,0.9873136464958384,0.012378162617168,0.9563385754309904,0.9867964295799656,0.9887396761700344,0.9862300545765114,0.0007664678983433,16.666666666666668,2,Mercedes,-0.0014807051268941,2.0,3.0,1.0,1,Frontrunner,1.0,High-Speed,train
2019,2,Sakhir,HUL,0.9971316301628528,0.0098785747898876,0.9735884169410416,0.997806555623967,0.9974248751808128,0.998814384313072,-0.0002214488536709,16.0,2,Renault,-0.0035039613966202,0.0,17.0,17.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,KUB,1.0215583512583453,0.0091594910081375,1.0010736415877626,1.0181787249336425,1.022993984924133,1.0264891131032865,0.0005788238715089,14.666666666666666,2,Williams,0.0019308242944848,4.0,20.0,16.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,KVY,1.000039835511292,0.0147759589230973,0.9707151475490297,0.9978126316471692,1.0033333722178153,1.0001050215945229,0.0003492636730979,16.0,2,Toro Rosso,-0.0005607860078937,3.0,15.0,12.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,LEC,0.9921415570870568,0.0209071416018836,0.9551422319474836,0.9986244214137906,0.9876883953151976,0.9930916968712244,0.0023163091051974,16.666666666666668,2,Ferrari,0.0025739790179757,-2.0,1.0,3.0,1,Frontrunner,1.0,High-Speed,train
2019,2,Sakhir,MAG,1.0086947231089822,0.0151464732796774,0.9805108488926152,1.0121844518616936,1.005974084841813,1.0092879546519269,0.0002923365591313,16.333333333333332,2,Haas F1 Team,0.0,-7.0,6.0,13.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,NOR,0.9980256924136144,0.0104385719957869,0.979334955725066,0.9941636421573392,0.9994701989330096,1.0034882792428723,0.0003138668822964,16.0,2,McLaren,-0.0008917930807393,3.0,9.0,6.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,PER,1.0015555021575084,0.0121466444575391,0.984989468087282,0.9995294457586658,1.003845675267914,1.0031584593592469,4.925683646284407e-05,16.0,2,Racing Point,-0.0025471990162146,4.0,14.0,10.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,RAI,0.9981590455155864,0.0118960215912263,0.977412626025072,0.9958041684219624,0.9990828122812748,1.0026142565512643,0.0001247059258884,16.0,2,Alfa Romeo Racing,-0.0021473896875873,1.0,8.0,7.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,RIC,1.004139552956093,0.0083211975561223,0.9887421010654616,1.0062283288505782,1.0042895805142082,1.0042819647544057,0.0002377323237499,25.0,1,Renault,0.0035039613966201,-8.0,10.0,18.0,2,Tyre Manager,1.0,High-Speed,train
2019,2,Sakhir,RUS,1.0176967026693755,0.0118655369468856,0.995040798380335,1.0170714705803263,1.021198661314838,1.0153846017474764,0.0011576007810082,15.666666666666666,2,Williams,-0.0019308242944848,4.0,19.0,15.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,SAI,0.9998092785750932,0.0131095383986,0.977381950551136,0.9994368651680942,0.9980244992524032,1.003710586901275,-0.0032623813877523,11.5,3,McLaren,0.0008917930807392,-12.0,7.0,19.0,0,Aggressive,1.0,High-Speed,train
2019,2,Sakhir,STR,1.0066499001899376,0.0073958391512066,0.9922186547782164,1.0052338119861832,1.0082919173922194,1.008641776920742,0.0007006917418787,24.5,1,Racing Point,0.0025471990162144,4.0,18.0,14.0,2,Tyre Manager,1.0,High-Speed,train
2019,2,Sakhir,VER,0.9914726272520912,0.0114803085136221,0.974570032106996,0.9948422416375732,0.9890019131165136,0.9921359830021248,-0.0006071020392161,16.666666666666668,2,Red Bull Racing,-0.0033341556064541,1.0,5.0,4.0,1,Frontrunner,1.0,High-Speed,train
2019,2,Sakhir,VET,0.9869935990511052,0.0090651856557658,0.9703163663878608,0.9891531350900769,0.983394868026068,0.9921520226638336,0.0007337084416208,12.0,3,Ferrari,-0.0025739790179757,-3.0,2.0,5.0,1,Frontrunner,1.0,High-Speed,train
2019,3,Shanghai,ALB,1.0062815427349114,0.0083152182592417,0.9942197112871446,1.0040709858370214,1.01403325201657,1.0035273930147186,-1.852247795253829e-05,25.5,1,Toro Rosso,0.0008743641436026,-10.0,0.0,10.0,2,Tyre Manager,1.0,High-Speed,train
2019,3,Shanghai,BOT,0.9810943343117938,0.0116170288680728,0.9537174795930676,0.9838515451385592,0.9802836640501298,0.9811518662259742,0.0004989355797808,16.666666666666668,2,Mercedes,0.0006445775865535,-1.0,1.0,2.0,1,Frontrunner,1.0,High-Speed,train
2019,3,Shanghai,GAS,0.9913634947122926,0.0126074114050419,0.9524106317101612,0.9919870272939656,0.9893120641444598,0.9935753112296016,0.0003726203610555,12.0,3,Red Bull Racing,0.0036268798504162,0.0,6.0,6.0,1,Frontrunner,1.0,High-Speed,train
2019,3,Shanghai,GIO,1.0049768952576807,0.012335793885712,0.985644778640074,1.0088196725251288,1.0021684919630351,1.005770635963897,0.0004243220547568,16.333333333333332,2,Alfa Romeo Racing,0.0002274825246355,4.0,19.0,15.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,GRO,1.0027876686079955,0.0124675324979278,0.9738328843138044,0.9995406622448788,1.005177154242757,1.0043238052306362,0.0001588278042529,16.333333333333332,2,Haas F1 Team,-0.0007930330441718,-1.0,10.0,11.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,HAM,0.9798051791386868,0.0108639207592545,0.963971209135872,0.98454139679766,0.9772684701681096,0.979841304573146,0.0004944252873401,16.666666666666668,2,Mercedes,-0.0006445775865535,1.0,2.0,1.0,1,Frontrunner,1.0,High-Speed,train
2019,3,Shanghai,KUB,1.024060156854571,0.0112538072867945,1.0029755921026178,1.0177079549934278,1.0300983109276456,1.025010006305794,0.000435322830842,24.5,1,Williams,0.0025053817828259,1.0,18.0,17.0,2,Tyre Manager,1.0,High-Speed,train
2019,3,Shanghai,KVY,1.004532814447706,0.0119542478604043,0.984910933290442,1.0054155824422115,1.0151275561769362,0.9979572858245138,0.001628035809603,8.0,3,Toro Rosso,-0.0008743641436028,-8.0,11.0,19.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,LEC,0.9846011098154328,0.0151746456854451,0.9535968474807994,0.9860821668027884,0.9794367146177946,0.9884131608950514,0.0008022308199166,16.666666666666668,2,Ferrari,0.0014746270457195,-1.0,4.0,5.0,1,Frontrunner,1.0,High-Speed,train
2019,3,Shanghai,MAG,1.0043737346963395,0.0130079160884763,0.979844384575174,1.001985812083955,1.0019519177815654,1.0086802793163607,7.193368008385603e-05,16.333333333333332,2,Haas F1 Team,0.0007930330441718,-4.0,9.0,13.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,NOR,1.0042331117380656,0.0087456459607117,0.9886404760947364,1.0022090130027426,1.0101929771092844,1.0025885025492665,0.0006730680855595,14.333333333333334,2,McLaren,0.0011616502025559,-3.0,15.0,18.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,PER,1.003685389874314,0.0076046994706643,0.9922192287586956,1.0065103744778123,1.0059279986629963,1.0016414198722223,0.0002607073658279,25.5,1,Racing Point,-0.000182919281348,4.0,12.0,8.0,2,Tyre Manager,1.0,High-Speed,train
2019,3,Shanghai,RAI,1.0045219302084096,0.0103247086033112,0.9832723470987976,1.0051361234725422,1.0073594643530694,1.0034126810467603,0.0006992354319703,25.5,1,Alfa Romeo Racing,-0.0002274825246355,4.0,13.0,9.0,2,Tyre Manager,1.0,High-Speed,train
2019,3,Shanghai,RIC,1.0036317756021949,0.0071661180787898,0.9915155414371306,1.0042616678193244,1.0046378959898483,1.0037640429013728,7.889474695543322e-06,25.5,1,Renault,0.0,0.0,7.0,7.0,2,Tyre Manager,1.0,High-Speed,train
2019,3,Shanghai,RUS,1.019049393288919,0.0131154337628429,0.9779544814829708,1.0172426543835265,1.019647323025358,1.020956587982165,0.0025882125844265,15.666666666666666,2,Williams,-0.0025053817828259,1.0,17.0,16.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,SAI,1.0019098113329534,0.0113895075833157,0.980156017531867,1.0051547447598763,0.9988704170142942,1.003220290108373,9.871406133426712e-05,25.5,1,McLaren,-0.0011616502025562,0.0,14.0,14.0,2,Tyre Manager,1.0,High-Speed,train
2019,3,Shanghai,STR,1.00405122843701,0.0123386516081867,0.9718726124894448,1.00480153314151,1.0057718738204442,1.003622482471044,0.0002095969631829,16.333333333333332,2,Racing Point,0.0001829192813478,4.0,16.0,12.0,0,Aggressive,1.0,High-Speed,train
2019,3,Shanghai,VER,0.9841097350114602,0.0112226828675256,0.9664944308174837,0.984814906266026,0.9807815921571268,0.9871362270104684,0.0005384243238097,16.666666666666668,2,Red Bull Racing,-0.0036268798504162,1.0,5.0,4.0,1,Frontrunner,1.0,High-Speed,train
2019,3,Shanghai,VET,0.9816518557239938,0.0120765052332702,0.9533555832562628,0.9822066895857472,0.9774146818043998,0.9853880437160988,0.0005085942317694,16.666666666666668,2,Ferrari,-0.0014746270457194,0.0,3.0,3.0,1,Frontrunner,1.0,High-Speed,train
2019,4,Baku,ALB,1.0066174027964188,0.0191419275303304,0.9788864719766744,1.0107766050592777,1.0113527398565472,0.9945938476950448,0.0015491974107957,22.5,1,Toro Rosso,-0.0024508408136401,0.0,11.0,11.0,2,Tyre Manager,1.0,High-Speed,train
2019,4,Baku,BOT,0.985680566483084,0.0133779388108738,0.9628731429629288,0.9818521200654527,0.9813988518782868,0.9975004216953144,-1.5238640894254922e-05,23.5,1,Mercedes,-7.552713905756292e-05,0.0,1.0,1.0,1,Frontrunner,1.0,High-Speed,train
2019,4,Baku,GAS,0.9991524268286428,0.0182789535324962,0.9784977090757624,0.9997821108441785,0.9996489595172452,0.9995987748980132,-0.0012701988842761,37.0,0,Red Bull Racing,0.0050203710897793,-17.0,0.0,17.0,2,Tyre Manager,1.0,High-Speed,train
2019,4,Baku,GIO,1.006414999254357,0.0196927344503179,0.9808765677789604,1.0171009187016145,1.0080725851734975,0.9898526693956508,0.005689352164334,22.5,1,Alfa Romeo Racing,0.0009016625270619,5.0,17.0,12.0,2,Tyre Manager,1.0,High-Speed,train
2019,4,Baku,GRO,1.0217264046023244,0.0141378615218493,1.0044615171009394,1.0273179286667715,1.0270150222815375,1.0066524878820853,-0.0008944383574981,16.5,1,Haas F1 Team,0.0056231309251164,-4.0,14.0,18.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,HAM,0.9858316207611992,0.0162521571719825,0.9641875318183922,0.9839642551337242,0.981816784140176,0.9937018564516076,-0.0001463770605774,23.5,1,Mercedes,7.55271390574519e-05,0.0,2.0,2.0,1,Frontrunner,1.0,High-Speed,train
2019,4,Baku,HUL,1.012946421684331,0.0145111132937728,0.9941870690054148,1.0157061531149656,1.014253264819225,1.0068017957999305,0.0018391465335922,14.0,2,Renault,0.0015853915654906,1.0,15.0,14.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,KUB,1.025607210626186,0.0144271569357433,0.9969824593881612,1.0299581975619572,1.0250903249411174,1.0222650785014769,0.0006457126754565,10.0,3,Williams,0.0015143052262347,-16.0,0.0,16.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,KVY,1.0115190844236988,0.0175617957241685,0.9967232841208868,1.0144147936862369,1.0154614085464055,1.002745330994204,0.0073787831977841,14.0,1,Toro Rosso,0.0024508408136398,-13.0,6.0,19.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,LEC,0.9925586131109536,0.0126942683589334,0.9534780395242284,0.9896115839187114,0.9931340281732984,0.9982096312979224,-0.0038560892286946,14.333333333333334,2,Ferrari,0.0022842557002081,3.0,8.0,5.0,1,Frontrunner,1.0,High-Speed,train
2019,4,Baku,MAG,1.0104801427520915,0.0152485363529783,0.9874762808349148,1.011407824758641,1.0139057215959184,1.0055279202722074,0.0028496422808147,15.0,2,Haas F1 Team,-0.0056231309251164,-1.0,12.0,13.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,NOR,1.001262199306962,0.017457007658798,0.975554218540288,1.0006750704280207,1.0013875934934904,0.9986150202909864,-0.0003292296965324,15.666666666666666,2,McLaren,0.000851036429204,-1.0,7.0,8.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,PER,0.9996238413674056,0.0182837984448241,0.9767575322812052,0.9981892759756772,1.0009618766958732,0.9971829099291885,-0.0004741739185812,23.5,1,Racing Point,-0.0010598781093617,-1.0,5.0,6.0,2,Tyre Manager,1.0,High-Speed,train
2019,4,Baku,RAI,1.0046116742002331,0.0128414362503229,0.9855972601471744,1.0075962732650474,1.0052980468978274,1.0012228612881495,0.0038074070390674,22.5,1,Alfa Romeo Racing,-0.0009016625270619,-10.0,0.0,10.0,2,Tyre Manager,1.0,High-Speed,train
2019,4,Baku,RIC,1.0097756385533494,0.0169321309120677,0.9882630628962836,1.0146193136495494,1.0136440206413448,0.9982080245954024,0.0007617692818151,13.5,1,Renault,-0.0015853915654908,-10.0,10.0,20.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,RUS,1.0225786001737165,0.0170121851470732,0.9927430925163142,1.0224352229770306,1.0261051576950626,1.0190849146298702,-0.0005463357803883,14.333333333333334,2,Williams,-0.0015143052262347,1.0,16.0,15.0,0,Aggressive,1.0,High-Speed,train
2019,4,Baku,SAI,0.9995601264485544,0.0154025157317488,0.9793770537325868,1.00436255797506,1.0006109485560435,0.9928198014314776,0.0004899455594944,23.0,1,McLaren,-0.0008510364292038,2.0,9.0,7.0,2,Tyre Manager,1.0,High-Speed,train
2019,4,Baku,STR,1.0017435975861289,0.016464057546517,0.9812468181607812,1.0058893686003072,1.0034061997607904,0.994951304077481,0.0012945134964374,23.0,1,Racing Point,0.0010598781093615,4.0,13.0,9.0,2,Tyre Manager,1.0,High-Speed,train
