circuit_id,lap_time_variability,sector1_dominance,sector2_dominance,sector3_dominance,avg_pit_stops_per_race,avg_stint_length,tyre_degradation_avg,overtaking_index,dnf_rate,seasons_count
Austin,0.01501602793741984,0.2694927540317567,0.4004481525466936,0.32992709097561257,1.7692307692307692,18.376373626373628,-0.00015405294924412553,4.04,0.26,5
Baku,0.015745338553341353,0.35730349226741553,0.40588592988600924,0.23649355092179017,1.3404255319148937,20.319858156028367,-0.0006749581409082731,4.01,0.23,5
Barcelona,0.01756449759833098,0.285316175937308,0.3851773934871707,0.3293219707207757,2.0775862068965516,19.63146551724138,7.025315069372778e-05,2.4833333333333334,0.19166666666666668,6
Budapest,0.01818798455718817,0.35787203269182094,0.35937459914183356,0.2826865303278888,1.7,24.66060606060606,-0.00011484871176640432,4.216666666666667,0.25,6
Hockenheim,0.07879660140291352,0.22216222048047665,0.4578576067860794,0.3183117387006495,3.466666666666667,9.394444444444444,-0.002226660493031162,7.2,0.35,1
Imola,0.05027132768798303,0.3188323652476009,0.346714913503159,0.3343621589459902,1.5616438356164384,22.337899543378995,-0.0016257550500497165,4.2625,0.275,4
Istanbul,0.036915248520645615,0.37598616806216006,0.34839623522958935,0.2754846828139122,1.394736842105263,23.57456140350877,-0.002625629704819572,5.3,0.1,2
Jeddah,0.018073636206277926,0.37061881573178984,0.3152366110037937,0.3135810484037756,1.1014492753623188,19.72463768115942,-0.0017121409980521403,3.037974683544304,0.27848101265822783,4
Las Vegas,0.01562903070324514,0.2883129443077959,0.33665261271894514,0.3749019233642337,1.6756756756756757,16.123873873873876,-0.0005126230825122614,4.3,0.175,2
Le Castellet,0.014543149705364269,0.25413734840654634,0.3027030712919525,0.4430002184955828,1.1896551724137931,22.295977011494255,-0.00031430771679077745,3.1,0.08333333333333333,3
Lusail,0.019453033903639765,0.35442466059290595,0.33602349319895136,0.3095182530188981,1.8333333333333333,17.873456790123456,-0.0009416041799812961,3.6,0.25,3
Marina Bay,0.025058406461341012,0.28519633541793754,0.41657588804304196,0.297915186648671,1.2745098039215685,24.13529411764706,-0.000654559146815641,3.8983050847457625,0.3898305084745763,3
Melbourne,0.016310427725814505,0.3443007174523286,0.233743030641184,0.42182854559537836,1.3529411764705883,21.524509803921568,-0.001371449204771865,4.177215189873418,0.3037974683544304,4
Mexico City,0.015920780754306203,0.35079719511327123,0.3900247395054958,0.2589676095858403,1.3440860215053763,27.98207885304659,-0.00010238561731721001,3.52,0.23,5
Miami,0.012096362005357715,0.33982671868873404,0.38111160905416297,0.2789223664070238,1.1896551724137931,23.629310344827587,-0.0005615324895641898,3.4833333333333334,0.13333333333333333,3
Monaco,0.07496836414534949,0.26363327856755014,0.4691564913995344,0.2668851901033317,1.3516483516483517,34.36593406593406,-0.002557143855933884,2.32,0.31,5
Montréal,0.036906910493285594,0.28317070559893115,0.3195764583208877,0.3970137577183704,1.662162162162162,23.754054054054052,-0.0019628873026833666,3.95,0.2125,4
Monza,0.013806788907041106,0.3263036701464899,0.3417546645608618,0.3316902268145836,1.355140186915888,20.054517133956384,-0.00033049925501842234,4.258333333333334,0.225,6
Mugello,0.019078340902491612,0.36791688860710453,0.27590381448964435,0.3561792969032512,2.0,14.108974358974358,-0.0006019087874459725,4.3,0.4,1
Nürburgring,0.01807739858727315,0.32673144968130946,0.41614595126113424,0.25696877162593545,1.875,17.270833333333336,-0.000565534469731908,5.7,0.25,1
Portimão,0.01640623469200302,0.29182201404917896,0.3850687839239833,0.323058131937698,1.2820512820512822,26.91025641025641,-0.0006716781789305374,2.55,0.05,2
Sakhir,0.014833409948631747,0.32170045491619936,0.42619105900451887,0.2518816218450946,2.236641221374046,15.889949109414756,0.00048421252716649576,3.7214285714285715,0.2571428571428571,6
Shanghai,0.015037752844517445,0.2654042182430783,0.29985951537127226,0.4346344879470853,1.9166666666666667,16.613425925925924,0.0006322383070998339,2.95,0.15,2
Silverstone,0.02694104659702445,0.3177467219403942,0.40644071440078305,0.27551616817674185,1.626984126984127,17.666798941798945,-0.000287802350434893,3.357142857142857,0.18571428571428572,6
Singapore,0.01702454751327763,0.26976554917139445,0.38864896324393394,0.34140134816505335,1.25,21.2125,-0.0001127192693792719,2.6,0.15,1
Sochi,0.02332774005345744,0.3567419252403324,0.346996055737508,0.29596255854379194,1.3773584905660377,19.31761006289308,-0.0006050531829897526,4.033333333333333,0.15,3
Spa-Francorchamps,0.014120231216231639,0.28491724349513065,0.44591855106390915,0.26899781002811013,1.6222222222222222,15.38888888888889,3.678715881075272e-05,3.6083333333333334,0.10833333333333334,5
Spielberg,0.018008713217233244,0.24946549084787234,0.44654163680781617,0.30380830955168936,1.6258503401360545,24.97675736961451,-4.69760143500656e-05,3.625,0.225,6
Suzuka,0.016026327390152494,0.36057848018895455,0.44619928544831,0.19316092035370847,1.565217391304348,15.951690821256037,0.000801479723763799,2.975,0.325,4
São Paulo,0.01903560495168041,0.255613583054739,0.517770791150696,0.22641795695417233,2.1264367816091956,19.003256704980842,-0.000552943248589903,4.66,0.25,5
Yas Island,0.013945751970339903,0.19105931700316545,0.4266736502060155,0.38206843724214645,1.4642857142857142,21.694196428571427,-0.00014174432585008955,2.689075630252101,0.19327731092436976,6
Zandvoort,0.02882671790537999,0.34228634220903104,0.3552508762591359,0.3022213786086922,2.3846153846153846,21.276068376068377,-0.0011556502369485541,3.3375,0.25,4
